First Name,Last Name,Class,Major,URL
Lucy,Pearson,Sophomore,Undeclared,/sports/womens-lacrosse/roster/lucy-pearson/20524
Jay,Browne,Graduate Student,"GR: Sustainability, UG: Sociology",/sports/womens-lacrosse/roster/jay-browne/20510
Erin,Schaefer,Junior,"Science, Technology & Society",/sports/womens-lacrosse/roster/erin-schaefer/20528
Olivia,Rose,Redshirt Freshman,Undeclared,/sports/womens-lacrosse/roster/olivia-rose/20527
Kaleigh,Sommers,Freshman,Undeclared,/sports/womens-lacrosse/roster/kaleigh-sommers/20532
Sarah,Jaques,Redshirt Junior,Political Science,/sports/womens-lacrosse/roster/sarah-jaques/20516
Katy,Gilbert,Senior,Psychology,/sports/womens-lacrosse/roster/katy-gilbert/20515
Sophia,Brindisi,Junior,Public Policy,/sports/womens-lacrosse/roster/sophia-brindisi/20509
Ashley,Thurston,Junior,Symbolic Systems,/sports/womens-lacrosse/roster/ashley-thurston/20529
Ailish,Kelly,Senior,Sociology,/sports/womens-lacrosse/roster/ailish-kelly/20517
Jordyn,Case,Redshirt Sophomore,Political Science,/sports/womens-lacrosse/roster/jordyn-case/20512
Madison,McPherson,Graduate Student,Community Health and Prevention Research,/sports/womens-lacrosse/roster/madison-mcpherson/20533
Kelsey,Myers,Graduate Student,Architectural Design,/sports/womens-lacrosse/roster/kelsey-myers/20523
Ava,Brosnan,Freshman,Undeclared,/sports/womens-lacrosse/roster/ava-brosnan/20534
Rylee,Bouvier,Sophomore,Undeclared,/sports/womens-lacrosse/roster/rylee-bouvier/20508
Phoebe,Kim,Sophomore,Undeclared,/sports/womens-lacrosse/roster/phoebe-kim/20518
Maddigan,Miller,Redshirt Sophomore,Psychology,/sports/womens-lacrosse/roster/maddigan-miller/20522
Anna,Colpack,Freshman,Undeclared,/sports/womens-lacrosse/roster/anna-colpack/20535
Kate,Bellissimo,Redshirt Sophomore,Design,/sports/womens-lacrosse/roster/kate-bellissimo/20507
Peep,Williams,Sophomore,Undeclared,/sports/womens-lacrosse/roster/peep-williams/20531
Rita,Peterson,Redshirt Sophomore,Sociology,/sports/womens-lacrosse/roster/rita-peterson/20525
Aliya,Polisky,Redshirt Freshman,Undeclared,/sports/womens-lacrosse/roster/aliya-polisky/20526
Dakota,Uy,Sophomore,Undeclared,/sports/womens-lacrosse/roster/dakota-uy/20530
Allison,Baldwin,Junior,Political Science and Sociology,/sports/womens-lacrosse/roster/allison-baldwin/20506
Ellie,Johnson,Freshman,Undeclared,/sports/womens-lacrosse/roster/ellie-johnson/20536
Katie,McMahon,Senior,"Science, Technology & Society/Sociology",/sports/womens-lacrosse/roster/katie-mcmahon/20520
Shae,Lembo,Freshman,Undeclared,/sports/womens-lacrosse/roster/shae-lembo/20537
Sophia,McMahon,Senior,Communication,/sports/womens-lacrosse/roster/sophia-mcmahon/20521
Annabel,Frist,Junior,Design,/sports/womens-lacrosse/roster/annabel-frist/20513
Olivia,Geoghan,Redshirt Junior,Human Biology,/sports/womens-lacrosse/roster/olivia-geoghan/20514
Elise,Murphy,Freshman,Undeclared,/sports/womens-lacrosse/roster/elise-murphy/20538
Lindsey,Devir,Freshman,Undeclared,/sports/womens-lacrosse/roster/lindsey-devir/20539
Ava,Arceri,Freshman,Undeclared,/sports/womens-lacrosse/roster/ava-arceri/20540
Emma,Capanna,Senior,Management Science & Engineering,/sports/womens-lacrosse/roster/emma-capanna/20511
